Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Saguaro,762226,1020226,957405,964760,820426,753446,673572,678261,634286,610045,717614,665234,699137,658477,619983,727208,651464,643697,615045,725874,765195,749014,716160,739410,671643,732813,768685,828267,810059,679034,702328,706191,675397,689933,613651,636711,699292,634688,566807,470598,611317,566486
Sequoia,796086,1246053,1229594,1291256,1254688,1097464,1039137,909274,1106584,1006583,1002979,965170,930011,979537,954507,1004843,1000177,979297,920292,870327,838947,873229,861303,1008931,838060,844582,1034133,1066552,961095,1120278,1063538,1056020,1031129,1139389,1056527,939468,979632,854233,1020500,1083002,862397,799576
Shenandoah,1666265,1425507,1264880,1458874,1437341,1321873,1255321,1136505,1210200,1209883,1253386,1120981,1075878,1107227,1076150,1094912,1261000,1163950,1389244,1498561,1419579,1339286,1473100,1587790,1571019,1757794,1926883,1951366,1822193,1939486,1771780,1873817,1937155,1767727,1843985,1933085,1869307,1768378,1751972,1819546,1699228,1521451
Theodore Roosevelt,551303,691658,749389,708003,753880,580033,559580,545090,640555,563407,623748,586928,516804,456588,435359,493198,474589,490295,471551,446609,431813,431311,448286,393265,436081,460699,505349,475160,475937,468926,460718,459171,413527,424846,390553,377152,361139,415118,677014,702873,595734,591646
Virgin Islands,167540,133398,112287,304408,411343,438372,426930,438601,483341,442414,493477,415847,469034,571382,677289,803040,793590,821681,693494,677401,703992,425345,556849,592537,475942,536058,635291,807093,772470,710180,664735,664032,838684,785354,766458,699398,666435,676800,673480,566528,547918,549732
Voyageurs,263091,232974,239656,237250,241912,238313,239160,233390,214841,177184,253891,222429,221585,220650,231875,234577,249041,234231,238227,243374,227371,228898,231958,223418,246588,210938,224181,228143,227498,221857,223554,209626,223735,201727,172137,183984,154723,146454,143724,257490,266935,195277
White Sands,415383,608785,603008,612468,555793,497506,503660,490544,447385,428924,470921,471167,438511,437042,440927,450447,448185,492008,498964,518958,515229,553948,592957,629507,616699,604796,583061,611252,590371,588543,582487,568530,556185,567613,666879,486754,542930,492902,543581,556494,511476,580814
Wrangell-St. Elias,16655,74518,79450,68292,79047,80366,74722,69984,87158,65225,73170,59966,65693,61085,50336,56224,57221,43311,40352,28643,28331,29252,27859,31833,31467,54430,50146,45335,42229,38971,35976,33221,31046,29191,26557,23171,22183,18760,14871,,,
Wind Cave,448405,615350,656397,619924,617377,612198,547022,516142,529083,538394,577141,587868,573433,603158,591049,612478,593877,874167,810298,650357,668507,761717,849974,832033,781171,805688,871061,537075,660296,597057,586464,561758,578016,563720,483334,477585,536022,503739,467392,503424,473061,457443
Yellowstone,3806306,4020288,4115000,4116524,4257177,4097710,3513484,3188030,3447729,3394326,3640185,3295187,3066580,3151343,2870295,2835651,2868317,3019375,2973677,2758526,2838233,3131381,3120830,2889513,3012171,3125285,3046145,2912193,3144405,2920537,2823572,2644442,2182113,2573194,2363756,2226159,2222027,2347242,2368897,2521831,2000269,1892908
Yosemite,2268313,4422861,4009436,4336890,5028868,4150217,3882642,3691191,3853404,3951393,3901408,3737472,3431514,3503428,3242644,3304144,3280911,3378664,3361867,3368731,3400903,3493607,3657132,3669970,4046207,3958406,3962117,3839645,3819518,3423101,3124939,3308159,3216681,3152275,2876717,2831952,2738467,2457464,2415587,2516893,2490282,2350782
Zion,3591254,4488268,4320033,4504812,4295127,3648846,3189696,2807387,2973607,2825505,2665972,2735402,2690154,2657281,2567350,2586665,2677342,2458792,2592545,2217779,2432348,2449664,2370048,2445534,2498001,2430162,2270871,2392580,2390626,2236997,2102400,1998856,1948332,1777619,1670503,1503272,1377254,1273030,1246290,1288808,1123846,1040528
Total,67957184,90981063,87715779,89352182,87620559,80321664,73943277,69148323,71085191,68628473,71106163,69069135,66792910,68431173,66629898,70315939,70143334,70247478,72074854,71429648,73550383,75362224,75940381,76340684,74313942,75539113,72961581,71936346,69884894,68312082,64221933,66934095,66115637,65671307,62388509,58312197,57356336,58522477,57433172,57184479,53941788,52614231
